"team","year","player_name","hometown","high_school","status"
"Arizona State",2023,"Brycen Long","Gilbert, AZ","Gilbert","Enrolled"
"Arizona State",2023,"Bryant Selebangue","Quebec City","RISE Prep","Enrolled"
"Arizona State",2023,"Zane Meeks","Wolfeboro, NH","Brewster Academy","Enrolled"
"Baylor",2023,"Ja'Kobe Walter","McKinney, TX","Link Academy","Enrolled"
"Baylor",2023,"Miro Little","Helsinki, Uusi","Sunrise Christian Academy","Enrolled"
"Baylor",2023,"RayJ Dennis","Oswego, IL","Oswego East","Enrolled"
"BYU",2023,"Dawson Baker","Ladera Ranch, CA","Tesoro","Enrolled"
"BYU",2023,"Marcus Adams Jr.","Harbor City, CA","Nathaniel Narbonne HS","Committed"
"BYU",2023,"Aly Khalifa","Sydney, NSW","NBA Global Academy","Committed"
"Cincinnati",2023,"Jamille Reynolds","Saint Petersburg, FL","Lakewood","Enrolled"
"Cincinnati",2023,"Simas Lukosius","Kaunas","Lithuania","Enrolled"
"Cincinnati",2023,"Aziz Bandaogo","Dakar","NBA Academy Africa","Enrolled"
"Cincinnati",2023,"C.J. Fredrick","Alexandria, KY","Covington Catholic","Committed"
"Cincinnati",2023,"Day Day Thomas","Bishopville, SC","Lee Central","Committed"
"Colorado",2023,"Cody Williams","Gilbert, AZ","Perry","Enrolled"
"Colorado",2023,"Eddie Lampkin","Katy, TX","Morton Ranch","Enrolled"
"Houston",2023,"LJ Cryer","Katy, TX","Morton Ranch","Enrolled"
"Houston",2023,"Damian Dunn","Kinston, NC","Meadowcreek","Enrolled"
"Iowa State",2023,"Omaha Biliew","Waukee, IA","Waukee","Enrolled"
"Iowa State",2023,"Milan Momcilovic","Pewaukee, WI","Pewaukee","Enrolled"
"Iowa State",2023,"Jelani Hamilton","Austell, GA","Wheeler","Enrolled"
"Iowa State",2023,"Jackson Paveletzke","Kimberly, WI","Kimberly","Enrolled"
"Kansas",2023,"Elmarko Jackson","Marlton, NJ","South Kent School","Enrolled"
"Kansas",2023,"Marcus Adams Jr.","Harbor City, CA","Nathaniel Narbonne HS","Enrolled"
"Kansas",2023,"Jamari McDowell","Manvel, TX","Manvel","Enrolled"
"Kansas",2023,"Johnny Furphy","Melbourne","NBA Global Academy","Committed"
"Kansas",2023,"Hunter Dickinson","Hyattsville, MD","DeMatha Catholic","Enrolled"
"Kansas",2023,"Nick Timberlake","Braintree, MA","Kimball Union Academy","Enrolled"
"Kansas State",2023,"Macaleab Rich","East St. Louis, IL","East St. Louis","Enrolled"
"Kansas State",2023,"RJ Jones","Denton, TX","Wasatch Academy","Committed"
"Kansas State",2023,"Tylor Perry","Fort Coffee, OK","Spiro","Enrolled"
"Kansas State",2023,"Arthur Kaluma","Glendale, AZ","Dream City Christian","Committed"
"Oklahoma State",2023,"Eric Dailey","Bradenton, FL","IMG Academy","Enrolled"
"Oklahoma State",2023,"Isaiah Miranda","Pawtucket, RI","Southern California Academy","Committed"
"TCU",2023,"Isaiah Manning","Mansfield, TX","Mansfield Legacy","Committed"
"TCU",2023,"Avery Anderson III","Justin, TX","Northwest","Enrolled"
"TCU",2023,"Jameer Nelson Jr.","Haverford, PA","Haverford School","Enrolled"
"Texas Tech",2023,"Eemeli Yalaho","Hudson, OH","Western Reserve Academy","Enrolled"
"Texas Tech",2023,"KyeRon Lindsay","Denton, TX","Guyer","Enrolled"
"Texas Tech",2023,"Warren Washington","San Marcos, CA","Mission Hills","Enrolled"
"UCF",2023,"Shemarri Allen","Arden, NC","T C Roberson","Enrolled"
"UCF",2023,"Omar Payne","Montverde, FL","Montverde Academy","Committed"
"UCF",2023,"Demarr Langford","Wolfeboro, NH","Brewster Academy","Committed"
"Utah",2023,"Karahan Efeoglu","Istanbul","Turkey","Enrolled"
"Utah",2023,"Lawson Lovering","Cheyenne, WY","Cheyenne Central","Enrolled"
"Utah",2023,"Cole Bajema","Lynden, WA","Lynden Christian School","Enrolled"
"Utah",2023,"Deivon Smith","Loganville, GA","Grayson","Enrolled"
"West Virginia",2023,"Ofri Naveh","Neot","Israel","Enrolled"
"West Virginia",2023,"RaeQuan Battle","Marysville, WA","Marysville Pilchuck","Enrolled"
"West Virginia",2023,"Akok Akok","Putnam, CT","Putnam Science Academy","Committed"
"West Virginia",2023,"Jesse Edwards","Bradenton, FL","IMG Academy","Committed"
"West Virginia",2023,"Noah Farrakhan","Hillside, NJ","The Patrick School","Committed"
"West Virginia",2023,"Quinn Slazinski","Huntington, WV","Huntington Prep","Committed"
"West Virginia",2023,"Kerr Kriisa","Tartu","Estonia","Committed"
"Arizona",2024,"Emmanuel Stephen","Glendale, AZ","Dream City Christian","Enrolled"
"Arizona",2024,"Trey Townsend","Oxford, MI","Oxford","Enrolled"
"Arizona",2024,"Anthony Dell'Orso","Melbourne","Marcellin","Enrolled"
"Arizona State",2024,"Joson Sanon","Fall River, MA","Vermont Academy","Enrolled"
"Arizona State",2024,"Trevor Best","Wilson, NC","Word Of God Christian Academy","Enrolled"
"Baylor",2024,"VJ Edgecombe","Nassau","Long Island Lutheran","Enrolled"
"Baylor",2024,"Marino Dubravcic","Split","Croatia","Enrolled"
"Baylor",2024,"Jeremy Roach","Fairfax, VA","Paul VI Catholic","Enrolled"
"Baylor",2024,"Norchad Omier","Bluefields","Hialeah","Enrolled"
"BYU",2024,"Egor Demin","Moscow","Russia","Enrolled"
"BYU",2024,"Mihailo Boskovic","Belgrade","Serbia","Enrolled"
"BYU",2024,"Brooks Bahr","Keller, TX","Keller","Signed"
"BYU",2024,"Khadim Mboup","Saly","NBA Academy Africa","Committed"
"BYU",2024,"Keba Keita","Mount Pleasant, UT","Wasatch Academy","Enrolled"
"BYU",2024,"Mawot Mag","Windsor, CA","Prolific Prep","Enrolled"
"Cincinnati",2024,"Tyler Betsey","Windsor, CT","St. Thomas More","Enrolled"
"Cincinnati",2024,"Dillon Mitchell","Spring Hill, FL","Montverde Academy","Enrolled"
"Cincinnati",2024,"Arrinten Page","Marietta, GA","Wheeler","Enrolled"
"Cincinnati",2024,"Connor Hickman","Bloomington, IN","Bloomington South","Enrolled"
"Colorado",2024,"Andrew Crawford","Littleton, CO","ThunderRidge","Enrolled"
"Colorado",2024,"Sebastian Rancik","San Juan Capistrano, CA","JSerra Catholic","Enrolled"
"Colorado",2024,"Andrej Jakimovski","Kriva Palanka","Macedonia","Enrolled"
"Colorado",2024,"Trevor Baskin","Arvada, CO","Pomona","Enrolled"
"Colorado",2024,"Elijah Malone","Angola, IN","Prairie Heights Sr Sch","Enrolled"
"Iowa State",2024,"Nojus Indrusaitis","Lemont, IL","Brewster Academy","Enrolled"
"Iowa State",2024,"Dishon Jackson","Vallejo, CA","St. Patrick-St. Vincent","Enrolled"
"Iowa State",2024,"Brandton Chatfield","Clarkston, WA","Clarkston","Enrolled"
"Kansas",2024,"Rakease Passmore","Palatka, FL","Combine Academy","Enrolled"
"Kansas",2024,"Noah Shelby","McKinney, TX","Greenhill School","Enrolled"
"Kansas",2024,"Zeke Mayo","Lawrence, KS","Lawrence","Enrolled"
"Kansas",2024,"David Coit","Columbus, NJ","Scotland Campus","Enrolled"
"Kansas State",2024,"David Castillo","Bartlesville, OK","Sunrise Christian Academy","Enrolled"
"Kansas State",2024,"Mobi Ikegwuruka","Galway","Republic of Ireland","Enrolled"
"Kansas State",2024,"Ugonna Onyenso","Putnam, CT","Putnam Science Academy","Enrolled"
"Kansas State",2024,"Baye Fall","Dakar","Accelerated Schools Aka Family Services Found","Enrolled"
"Kansas State",2024,"Dug McDaniel","Fairfax, VA","Paul VI Catholic","Enrolled"
"Kansas State",2024,"Coleman Hawkins","Antelope, CA","Prolific Prep","Enrolled"
"Kansas State",2024,"Max Jones","Clearwater, FL","Clearwater","Enrolled"
"Kansas State",2024,"CJ Jones","East St. Louis, IL","East St. Louis","Enrolled"
"Kansas State",2024,"Achor Achor","Melbourne","Greenforest McCalep Christian Academy","Enrolled"
"Oklahoma State",2024,"Brandon Newman","Valparaiso, IN","Valparaiso","Enrolled"
"Oklahoma State",2024,"Davonte Davis","Jacksonville, AR","Jacksonville","Enrolled"
"Oklahoma State",2024,"Robert Jennings","DeSoto, TX","Texas Alliance of Christian Athletes","Enrolled"
"Oklahoma State",2024,"Tyler Caron","Longview, TX","Spring Hill","Enrolled"
"Oklahoma State",2024,"Marchelus Avery","Highland Springs, VA","Virginia Academy","Enrolled"
"Oklahoma State",2024,"Pat Suemnick","Denmark, WI","Denmark","Enrolled"
"TCU",2024,"David Punch","Harker Heights, TX","Harker Heights","Enrolled"
"TCU",2024,"Malick Diallo","Draper, UT","Wasatch Academy","Enrolled"
"TCU",2024,"RJ Jones","Denton, TX","Wasatch Academy","Enrolled"
"TCU",2024,"Vasean Allette","Ontario, CA","Thornlea Secondary School","Enrolled"
"TCU",2024,"Brendan Wenzel","Helotes, TX","O'Connor","Enrolled"
"TCU",2024,"Trazarien White","Mansfield, TX","Mansfield Timberview","Enrolled"
"Texas Tech",2024,"Federiko Federiko","Tonkawa, OK","First Love Christian Academy","Enrolled"
"UCF",2024,"Dior Johnson","Corona, CA","Prolific Prep","Enrolled"
"UCF",2024,"Moustapha Thiam","Dakar","DME Academy","Enrolled"
"UCF",2024,"Benny Williams","Bradenton, FL","IMG Academy","Enrolled"
"UCF",2024,"Deebo Coleman","Callahan, FL","West Nassau","Enrolled"
"UCF",2024,"Jordan Ivy-Curry","La Marque, TX","La Marque","Enrolled"
"UCF",2024,"Rokas Jocius","Kaunas","Lithuania","Enrolled"
"Utah",2024,"Jaxon Johnson","Sandy, UT","Alta","Signed"
"Utah",2024,"David Katoa","Layton, UT","Real Salt Lake Academy","Signed"
"Utah",2024,"Miro Little","Helsinki, Uusi","Sunrise Christian Academy","Enrolled"
"Utah",2024,"Mike Sharavjamts","Willoughby, OH","ISA Academy","Enrolled"
"Utah",2024,"Zach Keller","Littleton, CO","ThunderRidge","Enrolled"
"Utah",2024,"Caleb Lohner","Flower Mound, TX","Wasatch Academy","Enrolled"
"Utah",2024,"Ezra Ausar","Snellville, GA","Liberty Heights Athletic Institute","Enrolled"
"West Virginia",2024,"KJ Tenner","Cordova, TN","Cordova","Enrolled"
"West Virginia",2024,"Amani Hansberry","Silver Spring, MD","Mount Saint Joseph","Enrolled"
"West Virginia",2024,"Jayden Stone","Perth","Sunrise Christian Academy","Enrolled"
"West Virginia",2024,"Toby Okani","West Orange, NJ","Cushing Academy","Enrolled"
"West Virginia",2024,"Tucker DeVries","Waukee, IA","Waukee","Enrolled"
"West Virginia",2024,"Joseph Yesufu","Bolingbrook, IL","Bolingbrook","Enrolled"
"Arizona",2025,"Koa Peat","Gilbert, AZ","Perry","Enrolled"
"Arizona",2025,"Dwayne Aristode","Wolfeboro, NH","Brewster Academy","Enrolled"
"Arizona",2025,"Ivan Kharchenkov","Munich, BY","Bayern Munich","Enrolled"
"Arizona",2025,"Sidi Gueye","Madrid","Real Madrid","Enrolled"
"Arizona State",2025,"Kash Polk","Argyle, TX","Argyle","Enrolled"
"Arizona State",2025,"Massamba Diop",NA,NA,"Enrolled"
"Arizona State",2025,"Andrija Grbovic","Pljevlja",NA,"Enrolled"
"Arizona State",2025,"Noah Meeusen",NA,"Belgium","Enrolled"
"Arizona State",2025,"Dame Salane","Stafford, TX","Stafford","Enrolled"
"Arizona State",2025,"Jovan Icitovic","Belgrade","Serbia","Enrolled"
"Arizona State",2025,"Adante Holiman","Mcalester, OK","McAlester","Enrolled"
"Arizona State",2025,"Santiago Trouet","Buenos Aires","American","Enrolled"
"Arizona State",2025,"Maurice Odum","Union City, NJ","West Oaks Academy","Enrolled"
"Arizona State",2025,"Marcus Adams Jr.","Harbor City, CA","Nathaniel Narbonne HS","Committed"
"Baylor",2025,"Ramon Soyoye","Blairstown, NJ","Blair Academy","Enrolled"
"Baylor",2025,"Michael Rataj","Berlin, BE","Germany","Enrolled"
"BYU",2025,"AJ Dybantsa","Brockton, MA","Utah Prep","Enrolled"
"BYU",2025,"Abdullah Ahmed","Cairo",NA,"Enrolled"
"BYU",2025,"Aleksej Kostić",NA,"Austria","Enrolled"
"BYU",2025,"Chamberlain Burgess","American Fork, UT","Lone Peak","Signed"
"BYU",2025,"Kennard Davis","Saint Louis, MO","Vashon","Enrolled"
"BYU",2025,"Dominique Diomande","Tours",NA,"Enrolled"
"BYU",2025,"Nate Pickens","Surprise, AZ","Paradise Honors","Enrolled"
"Cincinnati",2025,"Keyshuan Tillery","New Hampton, NH","New Hampton School","Enrolled"
"Cincinnati",2025,"Jordi Rodriguez","Barcelona","Club Joventut Badalona","Enrolled"
"Cincinnati",2025,"Lucas Atauri","Sao Paulo",NA,"Enrolled"
"Cincinnati",2025,"Moustapha Thiam","Dakar","DME Academy","Enrolled"
"Cincinnati",2025,"Baba Miller","Madrid","Spain","Enrolled"
"Cincinnati",2025,"Kerr Kriisa","Tartu","Estonia","Enrolled"
"Colorado",2025,"Jalin Holland","Los Lunas, NM","Dream City Christian","Enrolled"
"Colorado",2025,"Tacko Fawaz","Elizabeth, NJ","Dream City Christian","Enrolled"
"Colorado",2025,"Isaiah Johnson","Valley Village, CA","Campbell Hall School","Enrolled"
"Colorado",2025,"Ian Inman","The Woodlands, TX","College Park","Enrolled"
"Colorado",2025,"Leonardo Van Elswyk","Oleggio",NA,"Enrolled"
"Colorado",2025,"Alon Michaeli","Herzliya","Bnei Herzliya","Committed"
"Colorado",2025,"Jon Mani","Pacific Palisades, CA","Palisades","Enrolled"
"Houston",2025,"Isiah Harwell","Pocatello, ID","Wasatch Academy","Enrolled"
"Houston",2025,"Kalifa Sakho","Levelland, TX",NA,"Enrolled"
"Iowa State",2025,"Killyan Toure","Wolfeboro, NH","Brewster Academy","Enrolled"
"Iowa State",2025,"Dominykas Pleta",NA,"Porsche BBA Ludwigsburg","Enrolled"
"Iowa State",2025,"Blake Buchanan","Coeur D Alene, ID","Lake City","Enrolled"
"Iowa State",2025,"Eric Mulder","Oskaloosa, IA","Pella Christian","Enrolled"
"Kansas State",2025,"Andrej Kostic","Belgrade","KK Dynamic","Enrolled"
"Kansas State",2025,"Elias Rapieque","Berlin",NA,"Enrolled"
"Kansas State",2025,"Dorin Buca","Livorno","Akern Libertas Livorno","Enrolled"
"Kansas State",2025,"PJ Haggerty","Crosby, TX","Crosby","Enrolled"
"Kansas State",2025,"Nate Johnson","Middletown, OH","Lakota East","Enrolled"
"Kansas State",2025,"Tyreek Smith","Cedar Hill, TX","Trinity Leadership","Committed"
"Oklahoma State",2025,"Ben Ahmed","Putnam, CT","Putnam Science Academy","Enrolled"
"Oklahoma State",2025,"Ryan Crotty","Charlottesville, VA","Miller School","Enrolled"
"Oklahoma State",2025,"Mekhi Ragland","Lilburn, GA","Sunrise Christian Academy","Enrolled"
"Oklahoma State",2025,"Daniel Guetta","Tel Aviv",NA,"Enrolled"
"Oklahoma State",2025,"Lefteris Mantzoukas","Athens",NA,"Enrolled"
"Oklahoma State",2025,"Vyctorius Miller","North Hollywood, CA","Compass Prep","Enrolled"
"Oklahoma State",2025,"Isaiah Coleman","Fredericksburg, VA","Word Of God Christian Academy","Enrolled"
"Oklahoma State",2025,"Kanye Clary","Woodstock, VA","Massanutten Military Academy","Enrolled"
"Oklahoma State",2025,"Parsa Fallah","Cedar City, UT","Iran","Enrolled"
"Oklahoma State",2025,"Christian Coleman","Winnsboro, LA","Franklin Parish","Enrolled"
"TCU",2025,"Jayden Pierre","Elizabeth, NJ","Long Island Lutheran","Enrolled"
"TCU",2025,"Brock Harding","Moline, IL","Moline","Enrolled"
"TCU",2025,"Tanner Toolson","Vancouver, WA","Evergreen","Enrolled"
"TCU",2025,"Vianney Salatchoum","Yaounde","Cameroon","Enrolled"
"TCU",2025,"Liutauras Lelevicius","Vilnius","Lithuania","Enrolled"
"Texas Tech",2025,"Nolan Groves","Long Lake, MN","Orono Senior","Enrolled"
"Texas Tech",2025,"Josiah Moseley","Round Rock, TX","Stony Point","Enrolled"
"Texas Tech",2025,"Luke Bamgboye","London","Compass Prep","Enrolled"
"Texas Tech",2025,"Donovan Atwell","Huntersville, NC","Providence Day School","Enrolled"
"UCF",2025,"Tanner Jones","Bradenton, FL","IMG Academy","Enrolled"
"UCF",2025,"Chris Johnson","Missouri City, TX","Montverde Academy","Enrolled"
"UCF",2025,"John Bol","Boma","Overtime Elite","Enrolled"
"UCF",2025,"Kris Parker","Quincy, FL","Crossroad Academy","Enrolled"
"UCF",2025,"Jordan Burks","Decatur, AL","Hillcrest Prep","Enrolled"
"UCF",2025,"Themus Fulks","Winston Salem, NC",NA,"Enrolled"
"UCF",2025,"Carmelo Pacheco","Harrisonburg, VA","Spotswood","Enrolled"
"Utah",2025,"Kendyl Sanders","Bradenton, FL","IMG Academy","Enrolled"
"Utah",2025,"James Okonkwo","Mount Hope, WV","Beckley Prep Academy","Enrolled"
"Utah",2025,"Babacar Faye","Saly","NBA Academy Africa","Enrolled"
"West Virginia",2025,"DJ Thomas","Allen, TX","Allen","Enrolled"
"West Virginia",2025,"Chance Moore","Powder Springs, GA","McEachern","Enrolled"
"West Virginia",2025,"Treysen Eaglestaff","Bismarck, ND","Bismarck","Enrolled"
"West Virginia",2025,"Harlan Obioha","Hoxie, KS","Hoxie","Enrolled"
"West Virginia",2025,"Honor Huff","Pennsburg, PA","Perkiomen School","Enrolled"
"West Virginia",2025,"Jackson Fields","Missouri City, TX","Elkins","Enrolled"
"Arizona",2026,"Cameron Holmes","Goodyear, AZ","Millennium","Signed"
"Arizona",2026,"JJ Mandaquit","Hilo, HI","Utah Prep","Committed"
"Arizona State",2026,"Marcus Vaughns","Melbourne","NBA Global Academy","Committed"
"Arizona State",2026,"Dillan Shaw","Northridge, CA","Heritage Christian","Committed"
"Arizona State",2026,"Ben Defty","Berlin","St. Thomas More","Committed"
"Arizona State",2026,"Paulius Murauskas","Kaunas","Lithuania","Committed"
"Arizona State",2026,"Joel Foxwell","Melbourne, VIC","Australia","Committed"
"Arizona State",2026,"Nate Garcia","La Verne, CA","Damien","Committed"
"Baylor",2026,"Isaac Celiscar","Winter Haven, FL","Winter Haven","Committed"
"Baylor",2026,"Brett Decker","Cecilia, KY","Central Hardin","Committed"
"Baylor",2026,"Evan Chatman","Harker Heights, TX","Harker Heights","Committed"
"BYU",2026,"KJ Perry","Pacific Palisades, CA","Palisades","Enrolled"
"BYU",2026,"Bruce Branch III","Gilbert, AZ","Prolific Prep","Signed"
"BYU",2026,"Collin Chandler","Farmington, UT","Farmington","Committed"
"BYU",2026,"Tyler Betsey","Windsor, CT","St. Thomas More","Committed"
"Cincinnati",2026,"Adlan Elamin","Arlington, VA","Paul VI Catholic","Committed"
"Cincinnati",2026,"Trevian Carson","West Des Moines, IA","Valley","Committed"
"Cincinnati",2026,"David Iweze","Lewisville, TX","iSchool of Lewisville","Committed"
"Cincinnati",2026,"Tyler Tejada","Teaneck, NJ","Teaneck Sr","Committed"
"Cincinnati",2026,"Elijah Perryman","Concord, CA","Clayton Valley","Committed"
"Colorado",2026,"Goc Malual",NA,NA,"Committed"
"Colorado",2026,"Alex Dickeson","Melbourne, VIC","UC Senior Secondary College Lake Ginninderra","Committed"
"Colorado",2026,"Noah Feddersen","Menomonie, WI","Menomonie","Committed"
"Houston",2026,"Ikenna Alozie","Lagos","Dream City Christian","Signed"
"Houston",2026,"Delrecco Gillespie","Sharpsburg, GA","East Coweta","Committed"
"Houston",2026,"Braden East","Stafford, TX","Stafford","Committed"
"Iowa State",2026,"Jackson Kiss","Hurricane, UT","Utah Prep","Signed"
"Iowa State",2026,"Dorian Rinaldo-Komlan","Fort-de-France","SPIRE Academy","Signed"
"Iowa State",2026,"Tre Singleton","Jeffersonville, IN","Jeffersonville","Committed"
"Iowa State",2026,"Taj Manning","Mission, KS","La Lumiere School","Committed"
"Iowa State",2026,"Ryan Prather Jr.","Clarksburg, MD","Clarksburg","Committed"
"Kansas",2026,"Tay Kinney","Newport, KY","Overtime Elite","Signed"
"Kansas State",2026,"Jaylen Alexander","Oxford, AL","Oxford","Committed"
"Kansas State",2026,"Isaiah Abraham","Gainesville, VA","Paul VI Catholic","Committed"
"Kansas State",2026,"Jaden Schutt","Yorkville, IL","Yorkville Christian","Committed"
"Kansas State",2026,"Matt Gilhool","Elizabethtown, PA","William Penn Charter","Committed"
"Kansas State",2026,"Brandon Rechsteiner","Woodstock, GA","Etowah","Committed"
"Kansas State",2026,"Brock Vice","Germantown, TN","Houston","Committed"
"Kansas State",2026,"Dezdrick Lindsay","Fort Myers, FL","Louisville Male","Committed"
"Kansas State",2026,"Timotej Malovec","Belgrade",NA,"Committed"
"Oklahoma State",2026,"Jalen Montonati","Owasso, OK","Owasso","Signed"
"Oklahoma State",2026,"Parker Robinson","Olney, MD","Overtime Elite","Signed"
"Oklahoma State",2026,"Anthony Felesi","Orem, UT","Utah Prep","Committed"
"Oklahoma State",2026,"Julius Halaifonua","Auckland","NBA Global Academy","Committed"
"Oklahoma State",2026,"Kashie Natt","Rayville, LA","Rayville","Committed"
"Oklahoma State",2026,"Luka Bogavac","Podgorica","SC Derby","Committed"
"Oklahoma State",2026,"Andrija Grbovic","Pljevlja",NA,"Committed"
"TCU",2026,"Ryan Hunt","Perth","Australia","Committed"
"TCU",2026,"DJ Thomas","Allen, TX","Allen","Committed"
"Texas Tech",2026,"Dra Gibbs-Lawhorn","Lafayette, IN","Montverde Academy","Committed"
"Texas Tech",2026,"Cruz Davis","Lewisville, TX","Southern California Academy","Committed"
"UCF",2026,"Dior Johnson","Corona, CA","Prolific Prep","Committed"
"UCF",2026,"Lewis Walker","Winston Salem, NC","Winston Salem Christian School","Committed"
"UCF",2026,"Churchill Abass","Abuja","NBA Academy Africa","Committed"
"UCF",2026,"Isaiah Malone","Lagrange, IN","Fayette Ware Comprehensive","Committed"
"UCF",2026,"Cayden Vasko","Crown Point, IN","Don Bosco Prep Academy","Committed"
"Utah",2026,"Alec Anigbata","Munich","Ratiopharm Ulm","Signed"
"Utah",2026,"Simeon Suguturaga","Orem, UT","Orem","Committed"
"West Virginia",2026,"Miles Sadler","Glendale, AZ","Bella Vista College Preparatory School","Signed"
"West Virginia",2026,"Aliou Dioum","Dakar","Bella Vista College Preparatory School","Signed"
"West Virginia",2026,"Keonte Greybear","McKinney, TX","iSchool of Lewisville","Committed"
"West Virginia",2026,"Amadou Seini",NA,"Bella Vista College Preparatory School","Committed"
"West Virginia",2026,"Mouhamed Sylla","Dakar","Bella Vista College Preparatory School","Committed"
"West Virginia",2026,"Finley Bizjack","Trophy Club, TX","Byron Nelson","Committed"
"West Virginia",2026,"Javan Buchanan","Lafayette, IN","Lafayette Jefferson","Committed"
"West Virginia",2026,"Martin Somerville","Bowie, MD","Southern California Academy","Committed"
